#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
99,Summer Gardens,1000,200,1995,Landed,Summer Gardens,710,Everyone Welcome,1,0,Yes,,,
100,Cavendish Park,1450,140,1996,Condo,Cavendish Park,1020,Everyone Welcome,1,0,Yes,,,
101,The Esparis,1350,129,2006,Condo,The Esparis,240,Everyone Welcome,1,0,Yes,,,
102,613D Punggol Drive,850,11,2011,HDB,613D Punggol Drive,460,Everyone Welcome,1,0,Yes,,,
103,952B Tampines Street 96,1000,100,-,HDB,952B Tampines Street 96,990,Everyone Welcome,1,0,Yes,,,
104,Room For Rent Near ACS(I),899,200,-,Landed,Room For Rent Near ACS(I),760,Everyone Welcome,1,0,Yes,,,
105,9B Boon Tiong Road,1100,200,2016,HDB,9B Boon Tiong Road,460,Everyone Welcome,1,0,Yes,,,
106,128C Canberra Street,800,2152,2017,HDB,128C Canberra Street,690,Everyone Welcome,1,0,Yes,,,
107,The Lakefront Residences,1250,1400,2014,Condo,"48 Lakeside Dr, Singapore 648305",270,Everyone Welcome,1,0,Yes,,,
108,Caspian,1150,1400,2013,Condo,"62 Lakeside Dr, Singapore 648321",270,Everyone Welcome,1,0,Yes,,,
109,Hillview Garden Estate,40000,15000,-,Landed,Hillview Garden Estate,450,Everyone Welcome,7,10,,,,
110,Villa Delle Rose,10500,2800,1982,Condo,Taman Nakhoda / Farrer Road area,1210,Everyone Welcome,3,4,,,,
111,Newly Built Modern Family Home Near Namly Avenue,48000,9000,-,Landed,Near Namly Avenue,1510,Everyone Welcome,5,7,,,,
112,6BR Luxury Bungalow Near Changi,17500,7600,-,Landed,Near Changi Airport,1570,Everyone Welcome,6,6,,,,
113,Cosy Family Home with Pool Near Australian American French School,8500,2850,-,Landed,Wolskel Road area,790,Everyone Welcome,5,3,,,,
114,Family Friendly Corner Terrace,8800,2900,-,Landed,Telok Kurau / East Coast Road,950,Everyone Welcome,4,3,,,,
115,Modern New Designer GCB at Bishopsgate,55000,8212,-,Landed,Bishopsgate / Orchard Boulevard,660,Everyone Welcome,3,3,,,,
116,Spring Grove,9800,1789,1996,Condo,53A Grange Road,990,Everyone Welcome,5,5,,,,
117,Far Horizon Gardens,4000,1152,1987,Apartment,15 Ang Mo Kio Avenue 9,420,Everyone Welcome,2,2,,,,
118,Suites @ Cairnhill,7000,1184,2010,Apartment,138 Cairnhill Road,640,Everyone Welcome,2,2,,,,
119,Fortune Park,1000,150,1996,Condo,Kovan,690,Everyone Welcome,1,1,Yes,,,
120,370 Bukit Batok Street 31,1300,130,1985,HDB,370 Bukit Batok Street 31,320,Everyone Welcome,1,1,Yes,,,
121,425 Serangoon Avenue 1,1400,250,1989,HDB,425 Serangoon Avenue 1,520,Female only,1,1,Yes,,,
122,122 Kim Tian Road,998,100,1994,HDB,122 Kim Tian Road,650,Everyone Welcome,1,1,Yes,,,
123,Robertson Edge,2000,195,2008,Apartment,"18 Tong Watt Rd, Singapore 238010",620,Everyone Welcome,1,1,Yes,,,
124,Hillview Green,1050,150,1995,Condo,Hillview,500,Everyone Welcome,1,1,Yes,,,
125,146 Lorong 2 Toa Payoh,1200,110,2005,HDB,146 Lorong 2 Toa Payoh,390,Female only,1,1,Yes,,,
126,29 Jalan Bahagia,750,100,1986,HDB,29 Jalan Bahagia,1250,Everyone Welcome,1,1,Yes,,,
127,370 Bukit Batok Street 31,1300,130,1985,HDB,370 Bukit Batok Street 31,320,Everyone Welcome,1,1,Yes,,,
128,122 Kim Tian Road,998,100,1994,HDB,122 Kim Tian Road,650,Everyone Welcome,1,1,Yes,,,
129,145 Lorong 2 Toa Payoh,880,100,2005,HDB,145 Lorong 2 Toa Payoh,570,Everyone Welcome,1,1,Yes,,,
130,86 Dawson Road,1200,150,2015,HDB,86 Dawson Road,590,Everyone Welcome,1,1,Yes,,,
